# description: FWHM as a function of wavelength with AO enhancement
# wavelength_unit: nm
# fwhm_unit: arcsec
# alpha: 3.25
wavelength    fwhm
300.         0.4244
450.         0.3585
565.         0.3330
712.5        0.3140
892.5        0.3110
1087.5       0.3098
1282.5       0.3092
1650.        0.3052
2550.        0.3092
