# description: FWHM as a function of wavelength with AO enhancement
# wavelength_unit: nm
# fwhm_unit: arcsec
# alpha: 3.25
wavelength    fwhm
300.         0.424
450.         0.359
565.         0.333
712.5        0.314
892.5        0.311
1087.5       0.310
1282.5       0.309
1650.        0.305
2550.        0.309
